,mul,optimizer,epochs,layers,neurons,loss
0,1000,adam,1000,5,5,0.002787929028272629
1,1000,adam,1000,5,10,0.0026925248093903065
2,1000,adam,1000,5,20,0.002579106716439128
3,1000,adam,1000,5,50,0.002553957514464855
4,1000,adam,1000,6,5,0.0027246535755693913
5,1000,adam,1000,6,10,0.0025036847218871117
6,1000,adam,1000,6,20,0.0025819179136306047
7,1000,adam,1000,6,50,0.0025100784841924906
8,1000,adam,1000,7,5,0.0030127959325909615
9,1000,adam,1000,7,10,0.002332506235688925
10,1000,adam,1000,7,20,0.002533472143113613
11,1000,adam,1000,7,50,0.0025513817090541124
